customer_id,gender,age,region,contract_type,internet_service,payment_method,tenure_months,monthly_charges,total_charges,support_tickets,late_payments,senior_citizen,churn,signup_date
10001,Male,68,West,Month-to-Month,Fiber Optic,Credit Card,9,117.21,979.66,3.0,1,Yes,No,2020-08-12
10002,Female,64,East,Two Year,Fiber Optic,Mailed Check,14,56.13,792.22,0.0,1,Yes,No,2024-10-26
10003,Female,64,East,Month-to-Month,Fiber Optic,Credit Card,26,43.55,1171.88,4.0,1,Yes,No,2023-06-23
10004,Female,21,West,One Year,Fiber Optic,Bank Transfer,62,74.52,4340.7,2.0,0,No,No,2022-02-11
10005,Male,24,East,One Year,Fiber Optic,Electronic Check,25,89.4,2304.69,3.0,1,No,No,2024-12-27
10006,Male,62, east ,One Year,No Internet,Mailed Check,36,42.1,1503.36,3.0,0,Yes,No,2020-01-16
10007,Male,52,West,Month-to-Month,Fiber Optic,Credit Card,33,122.56,4246.09,4.0,0,No,Yes,2022-10-29
10008,Female,65,West,Month-to-Month,DSL,Bank Transfer,3,120.72,364.11,0.0,0,Yes,No,2020-02-27
10009,Female,26,South,One Year,DSL,Electronic Check,11,76.48,819.22,2.0,3,No,No,2022-09-11
10010,Female,25,North,Two Year,Fiber Optic,Bank Transfer,58,57.46,3243.09,2.0,0,No,No,2022-04-30
10011,Male,69,East,Month-to-Month,No Internet,electronic check,64,84.16,5728.79,0.0,2,Yes,No,2024-03-15
10012,Female,62,South,Two Year,DSL,Credit Card,18,42.38,757.09,3.0,0,Yes,Yes,2021-10-09
10013,Female,34,East,Month-to-Month,Fiber Optic,Mailed Check,47,115.58,5350.34,0.0,0,No,Yes,2025-01-17
10014,Male,34,East,One Year,Fiber Optic,Mailed Check,44,81.21,3310.18,2.0,0,No,No,2023-09-16
10015,Male,66,South,One Year,Fiber Optic,Credit Card,59,105.18,6070.91,3.0,0,Yes,No,2021-04-05
10016,Male,50,West,One Year,Fiber Optic,Bank Transfer,50,109.55,5783.91,1.0,0,No,No,2022-08-26
10017,Male,49,West,Two Year,Fiber Optic,Electronic Check,69,95.45,6861.07,2.0,1,No,No,2023-05-18
10018,Male,25,East,One Year,DSL,Bank Transfer,29,116.63,3231.24,2.0,2,No,No,2020-10-16
10019,Male,36,North,One Year,No Internet,Bank Transfer,67,76.46,5051.56,1.0,0,No,No,2023-01-25
10020,Male,55,East,Month-to-Month,DSL,Credit Card,2,59.42,113.07,4.0,1,No,No,2022-01-02
10021,Female,20,South,month-to-month,Fiber Optic,Mailed Check,25,34.45,923.84,4.0,1,No,No,2021-07-29
10022,Male,22,East,Month-to-Month,Fiber Optic,Bank Transfer,19,29.9,577.02,1.0,1,No,No,2022-04-21
10023,Male,30,South,One Year,Fiber Optic,Electronic Check,40,103.3,4300.16,3.0,1,No,No,2024-10-28
10024,Male,64,North,Month-to-Month,Fiber Optic,Bank Transfer,2,82.4,170.44,3.0,0,Yes,Yes,2025-07-31
